1060,1181
1060,1723
1060,1542
1181,388
1181,1473
234,1893
234,716
234,442
1893,890
1893,1947
1078,1086
1078,1550
1078,1084
1086,1586
1086,515
1107,1787
1107,634
1107,517
1787,979
1787,1518
40,41
40,589
40,681
41,1829
41,1962
1031,1419
1031,1649
1031,1838
1419,950
1419,1169
1064,1187
1064,1864
1064,322
1187,236
1187,1785
1067,1750
1067,927
1067,936
1750,1928
1750,443
1482,1700
1482,494
1482,1713
1700,691
1700,741
1288,1569
1288,1203
1288,1719
1569,954
1569,1529
146,1636
146,856
146,1165
1636,1223
1636,129
179,995
179,747
179,1718
995,133
995,1402
80,378
80,23
80,1188
378,1318
378,139
230,997
230,887
230,742
997,285
997,311
1628,1759
1628,1435
1628,1608
1759,422
1759,19
1341,1437
1341,776
1341,1377
1437,1053
1437,1703
325,1643
325,1738
325,662
1643,1884
1643,1222
303,801
303,1620
303,1150
801,1090
801,734
341,1093
341,553
341,754
1093,1130
1093,1487
537,968
537,851
537,951
968,45
968,1785
691,94
691,881
264,1367
264,279
264,790
1367,286
1367,1672
642,761
642,1964
642,239
761,472
761,154
356,1221
356,915
356,552
1221,667
1221,1528
51,1668
51,1539
51,1577
1668,1878
1668,1894
115,866
115,1331
115,1610
866,984
866,77
765,1011
765,182
765,1330
1011,1887
1011,789
706,1865
706,1723
706,490
1865,1612
1865,956
283,1911
283,1604
283,1478
1911,1724
1911,1706
261,1069
261,1303
261,203
1069,856
1069,97
235,1834
235,8
235,1239
1834,299
1834,726
1216,1670
1216,343
1216,1127
1670,1045
1670,226
58,1155
58,508
58,131
1155,1094
1155,942
1072,1513
1072,1355
1072,332
1513,587
1513,87
500,713
500,1128
500,887
713,609
713,1776
317,857
317,548
317,1326
857,1029
857,1147
567,1526
567,358
567,1923
1526,262
1526,1946
977,1281
977,1410
977,60
1281,858
1281,1176
814,1254
814,1354
814,1618
1254,810
1254,1680
266,1040
266,946
266,1646
1040,13
1040,1227
1459,1958
1459,1660
1459,830
1958,807
1958,205
778,1480
778,1205
778,343
1480,1673
1480,1904
606,1899
606,1635
606,586
1899,247
1899,299
766,1097
766,1074
766,1152
1097,109
1097,1217
513,1671
513,1432
513,464
1671,1270
1671,1156
174,1222
174,1853
174,1237
1222,1632
639,764
639,544
639,1707
764,1013
764,868
1250,1555
1250,94
1250,1408
1555,287
1555,1170
510,1931
510,1270
510,831
1931,1234
1931,240
762,1063
762,1969
762,1840
1063,1447
1063,110
583,832
583,662
583,1878
832,1936
832,720
178,783
178,748
178,718
783,1334
783,729
505,1852
505,707
505,828
1852,130
1852,259
771,1297
771,641
771,95
1297,998
1297,345
1096,1353
1096,1223
1096,690
1353,1023
1353,1190
1147,1813
1147,975
1813,1381
1813,1724
547,1934
547,202
547,1369
1934,1683
1934,686
839,1059
839,338
839,1585
1059,1596
1059,1845
1077,1196
1077,1481
1077,153
1196,658
1196,1802
1717,1822
1717,72
1717,307
1822,1420
1822,278
767,1299
767,1122
767,1731
1299,1661
1299,87
553,1179
553,1108
292,926
292,1501
292,1919
926,558
926,807
212,817
212,824
212,1035
817,1676
817,1424
1609,1614
1609,970
1609,542
1614,1484
1614,782
780,1009
780,1180
780,222
1009,959
1009,1982
1074,1957
1074,634
393,1503
