2000
965 1209
965 1688
965 504
1209 36
1209 1182
184 1398
184 1496
184 49
1398 1376
1398 769
1125 1161
1125 572
1125 497
1161 1709
1161 475
431 1647
431 1176
431 958
1647 1410
1647 10
658 1546
658 1657
658 343
1546 1062
1546 1374
1027 1529
1027 1871
1027 1239
1529 1668
1529 868
1435 1732
1435 667
1435 1402
1732 628
1732 933
296 1459
296 365
296 466
1459 1074
1459 886
497 1449
497 366
1449 568
1449 879
1214 1355
1214 61
1214 432
1355 1049
1355 1982
614 722
614 684
614 1191
722 1167
722 1873
256 748
256 1640
256 580
748 203
748 1179
1456 1791
1456 1318
1456 815
1791 913
1791 1198
1341 1581
1341 777
1341 1781
1581 1269
1581 85
298 830
298 600
298 1319
830 1173
830 1081
110 1862
110 1596
110 228
1862 382
1862 1960
518 870
518 378
518 854
870 831
870 344
9 1667
9 1803
9 1142
1667 1442
1667 1312
900 1838
900 1721
900 1292
1838 1470
1838 220
4 240
4 1832
4 411
240 1683
240 964
405 1487
405 552
405 206
1487 55
1487 146
158 1201
158 828
158 794
1201 817
1201 789
361 1035
361 1415
361 1248
1035 619
1035 1488
708 1259
708 1599
708 236
1259 1560
1259 1429
1046 1892
1046 289
1046 962
1892 207
1892 1467
421 1840
421 805
421 588
1840 1827
1840 1820
1191 1901
1191 1961
1901 105
1901 193
1262 1287
1262 150
1262 281
1287 1061
1287 1549
7 1297
7 759
7 1833
1297 1257
1297 1490
289 430
289 1316
724 1203
724 269
724 1799
1203 1727
1203 130
465 863
465 961
465 954
863 548
863 649
235 1075
235 268
235 1524
1075 934
1075 367
912 1174
912 1935
912 1074
1174 213
1174 1326
706 1829
706 1064
706 288
1829 1513
1829 1682
1283 1575
1283 1583
1283 638
1575 1061
1575 570
268 843
268 1321
843 152
843 96
74 1881
74 1365
74 63
1881 377
1881 1611
802 1159
802 1390
802 1418
1159 1971
1159 1986
275 1642
275 1237
275 1249
1642 732
1642 484
149 334
149 1443
149 1842
334 1250
334 312
828 1909
828 262
415 633
415 343
415 145
633 142
633 1118
31 1690
31 1083
31 1528
1690 1860
1690 587
98 697
98 246
98 117
697 1163
697 1935
1098 1566
1098 691
1098 1616
1566 1824
1566 262
597 1284
597 1785
597 1369
1284 247
1284 1637
425 1995
425 1590
425 860
1995 1153
1995 1737
720 1763
720 313
720 1358
1763 995
1763 1780
945 1207
945 462
945 1865
1207 283
1207 1325
1036 1740
1036 1643
1036 112
1740 315
1740 1223
919 926
919 234
919 1859
926 916
926 1611
689 1138
689 135
689 1557
1138 326
1138 1033
445 1415
445 1948
445 70
1415 140
362 1646
362 523
362 737
1646 1003
1646 1014
18 1836
18 604
18 640
1836 1142
1836 1417
1272 1867
1272 1134
1272 1303
1867 320
1867 1346
325 1764
325 795
325 1434
1764 892
1764 1007
800 825
800 1357
800 1267
825 1921
825 1189
635 1432
635 571
635 1198
1432 1017
1432 1127
1496 97
1496 897
484 1757
484 1906
1757 1932
1757 893
490 519
490 1677
490 277
519 355
519 487
412 1094
412 1219
412 1057
1094 958
1094 698
611 1074
611 757
611 999
1793 1803
1793 1382
1793 483
1803 1723
680 1439
680 609
680 707
1439 1692
1439 540
248 1745
248 89
248 644
1745 855
1745 910
172 1786
172 730
172 1143
1786 252
1786 546
1156 1368
1156 1370
1156 638
1368 193
1368 1905
208 397
208 1423
208 1625
397 1291
397 1945
462 542
462 1845
542 848
542 1513
76 915
76 1879
76 632
915 1848
915 1166
1013 1090
1013 795
1013 1086
1090 339
1090 25
538 1620
538 1366
538 1304
1620 1177
1620 482
1031 1144
1031 1771
1031 17
1144 59
1144 1506
576 829
576 1913
576 936
829 360
829 1721
471 1301
471 809
471 854
1301 422
1301 836
188 1736
188 1122
188 1823
1736 1356
1736 1470
65 762
65 33
65 1545
762 969
762 1289
1192 1735
1192 1537
1192 1957
1735 1856
1735 1291
1692 1937
1692 1517
961 33
961 132
1366 1479
1366 1778
1479 1065
1479 1429
957 1423
957 1968
957 857
1423 733
1141 1998
1141 1264
1141 288
1998 668
1998 488
1005 1091
1005 914
1005 442
1091 1917
1091 61
454 1068
454 969
454 559
1068 1260
1068 1145
642 1039
642 1560
642 1561
1039 1373
1039 1600
1030 1264
1030 100
1030 308
1264 407
1702 1922
1702 1926
1702 805
1922 1095
1922 726
906 1643
906 578
906 1503
1643 1753
313 95
313 166
595 1601
595 876
595 620
1601 1476
1601 1831
422 1775
422 929
377 884
377 1233
884 488
884 69
427 1608
427 1193
427 1006
1608 1224
1608 1395
328 1257
328 1864
328 1188
1257 1409
1657 935
1657 1224
580 1329
580 1775
1329 1987
1329 259
779 1538
779 53
779 1797
1538 1991
1538 135
189 1178
189 123
189 1100
1178 1517
1178 1370
71 1717
71 1847
71 1065
1717 1880
1717 770
355 1247
355 1268
1247 1097
1247 1106
1250 1797
1250 1707
1797 439
924 1367
924 1008
924 1169
1367 1810
1367 1481
1251 1533
1251 1758
1251 1823
1533 48
1533 1525
327 1148
327 477
327 1183
1148 1182
1148 1731
1537 1976
1537 129
1976 1831
1976 1844
1611 1696
1696 270
1696 826
419 1231
419 890
419 1969
1231 461
1231 1190
146 844
146 1790
844 1814
844 878
460 1269
460 1536
460 1443
1269 1820
102 1295
102 1560
102 637
1295 1984
1295 1937
1009 1856
1009 1463
1009 1377
1856 528
1235 1265
1235 253
1235 891
1265 694
1265 1839
52 162
52 974
52 1373
162 864
162 735
1599 1495
1599 878
156 219
156 311
156 1000
219 1183
219 1263
942 1128
942 1278
942 450
1128 555
1128 1855
368 1716
368 1286
368 1884
1716 694
1716 1568
228 473
228 1406
473 1606
473 30
806 1798
806 214
806 1293
1798 649
1798 399
1410 1011
1410 714
324 1874
324 1694
324 672
1874 155
1874 681
320 1495
320 512
1495 23
898 1243
898 193
898 1705
1243 19
1243 523
989 1361
989 645
989 57
1361 1424
1361 1518
1311 1561
1311 636
1311 851
1561 1928
1677 1059
1677 1828
199 1205
199 921
199 996
1205 568
1205 1066
1183 1117
450 558
450 1347
558 534
558 1158
195 826
195 410
195 1968
826 433
1474 1933
1474 409
1474 1578
1933 1908
1933 295
894 1129
894 1979
894 1317
1129 1681
1129 1086
1306 1711
1306 1775
1306 350
1711 1762
1711 225
1505 1920
1505 1614
1505 1168
1920 984
1920 461
260 1974
260 1545
260 1123
1974 420
1974 873
376 1548
376 1559
376 1540
1548 781
1548 1906
137 1266
137 84
137 1143
1266 1811
1266 638
183 1382
183 1527
183 1169
1382 767
60 408
60 1405
60 615
408 1855
408 1603
414 1660
414 216
414 1070
1660 1501
1660 479
258 1821
258 1492
258 648
1821 749
1821 1012
118 1661
118 1633
118 941
1661 82
1661 1631
628 1547
628 34
307 365
307 1096
307 1218
365 524
1427 1448
1427 1814
1427 899
1448 1185
1448 273
665 1650
665 1726
665 1958
1650 649
1650 1454
181 1866
181 1038
181 373
1866 985
1866 226
326 62
326 804
346 887
346 922
346 1586
887 1877
887 306
1032 1300
1032 988
1032 1927
1300 815
1300 647
954 1789
954 1023
1789 302
1789 1117
944 1187
944 202
944 823
1187 1675
1187 717
252 434
252 1879
434 452
434 677
284 503
284 335
284 1826
503 1888
503 1811
435 815
435 124
435 331
30 92
30 820
92 1040
92 1885
165 1714
165 1064
165 776
1714 446
1714 342
333 624
333 676
333 1748
624 1992
624 1861
81 1226
81 1483
81 440
1226 507
1226 286
32 58
32 876
32 1804
58 851
58 1393
226 1321
226 514
1321 817
494 1889
494 1919
494 752
1889 73
1889 584
274 574
274 659
274 1531
574 950
574 645
582 1364
582 1271
582 1725
1364 106
1364 1741
39 1494
39 1628
39 596
1494 561
1494 1477
897 1376
897 115
1376 570
725 1004
725 1328
725 264
1004 246
1004 1168
1123 1688
1123 821
1688 596
500 1331
500 1668
500 1349
1331 1014
1331 971
269 1574
269 1360
626 1556
626 1980
626 1464
1556 1825
1556 457
246 1680
1680 654
1680 804
211 410
211 237
211 1868
410 818
960 1846
960 41
960 1952
1846 1782
1846 1728
370 1715
370 1210
370 153
1715 1860
1715 1111
553 1342
553 682
553 339
1342 1451
1342 804
907 1425
907 1447
907 1738
1425 771
1425 865
511 1196
511 1374
511 1267
1196 386
1196 452
3 1958
3 1630
3 1718
1958 1344
1610 1927
1610 1593
1610 517
1927 170
194 851
194 1932
194 1755
1337 1652
1337 1753
1337 1777
1652 1407
1652 342
686 1313
686 1788
686 201
1313 1296
1313 1699
477 639
477 1002
1099 1222
1099 1897
1099 1591
1222 1619
1222 1165
108 784
108 678
108 1594
784 105
784 529
78 1170
78 627
78 1675
1170 1800
1170 1595
261 1929
261 1679
261 1880
1929 1025
1929 1916
777 799
777 1299
799 1576
799 997
745 1633
745 1703
745 1395
1633 968
599 1021
599 793
599 485
1021 1669
1021 1510
133 468
133 192
133 836
468 1115
468 176
1110 1762
1110 418
1110 463
1762 529
170 1066
170 341
899 1133
899 979
1133 185
1133 126
287 1200
287 249
287 1604
1200 151
1200 756
1465 1730
1465 1391
1465 1155
1730 740
1730 544
677 977
677 785
977 1139
977 991
329 788
329 652
329 730
788 42
788 1483
33 646
646 280
646 304
36 322
36 1756
739 1446
739 1394
739 209
1446 1261
1446 1765
1048 1527
1048 455
1048 525
1527 1833
710 1648
710 668
710 1171
1648 1534
1648 952
35 161
35 2
35 575
161 785
161 976
874 1899
874 746
874 1455
1899 1747
1899 643
681 1770
681 1641
1770 1184
1770 928
922 1796
922 1082
1796 956
1796 842
197 717
197 10
197 1885
717 592
1038 1062
1038 940
730 1217
1217 1788
1217 1706
1052 1268
1052 856
1052 1815
1268 1811
764 1884
764 1213
764 809
1884 848
914 1563
914 1273
1563 1790
1563 786
8 1641
8 1040
8 93
1641 1572
222 890
222 1434
222 1754
890 1444
214 1592
214 782
687 1255
687 1202
687 953
1255 1386
1255 1412
1628 463
1628 1627
1182 1234
1234 790
1234 835
889 981
889 1997
889 867
981 1447
981 943
1078 1671
1078 533
1078 1188
1671 1504
1671 1079
13 1347
13 1843
13 1476
1347 973
87 967
87 470
87 1902
967 1370
967 488
1258 1372
1258 1913
1258 617
1372 761
1372 723
1772 1822
1772 1785
1772 1865
1822 145
1822 1600
90 218
90 842
90 403
218 138
218 1077
227 632
227 985
227 1542
632 1767
48 1637
48 442
1451 778
1451 1466
332 1063
332 835
332 175
1063 1654
1063 1577
283 1059
283 250
795 1697
242 1026
242 1136
242 1450
1026 555
1026 56
833 1839
833 1047
833 476
1839 1979
516 1000
516 1018
516 998
1000 690
75 620
75 1988
75 1984
620 741
685 1861
685 1589
685 1607
1861 1324
1825 1519
1825 1815
888 1137
888 1053
888 541
1137 979
1137 1497
509 1635
509 616
509 482
1635 1121
1635 1938
51 1952
51 1051
51 773
1952 387
1606 1911
1606 1113
1911 372
1911 280
743 1164
743 931
743 805
1164 212
1164 836
1504 656
1504 970
738 1314
738 1945
738 249
1314 718
1314 1960
594 1678
594 787
594 719
1678 1984
1678 1407
1591 1904
1591 72
1904 742
1904 969
1049 1676
1049 1522
639 1457
639 535
1457 1216
1457 400
79 631
79 1843
79 1340
631 713
631 770
1194 1450
1194 1698
1194 1076
1450 1112
1245 1532
1245 849
1245 125
1532 951
1532 862
56 318
56 559
318 89
318 1975
1173 1080
1173 979
744 1887
744 1967
744 1324
1887 742
1887 1698
877 1105
877 758
877 895
1105 504
1105 1514
215 1394
215 1452
215 747
1394 1232
1545 973
526 1701
526 978
526 1318
1701 607
1701 862
426 531
426 1558
426 661
531 308
531 527
350 801
350 257
801 330
801 1812
785 675
1675 569
980 1233
980 774
980 1713
1233 1848
1353 1744
1353 1615
1353 371
1744 1389
1744 1360
1010 1670
1010 891
1010 292
1670 572
1670 1281
903 1507
903 291
903 1672
1507 1508
1507 243
107 670
107 869
107 486
670 1940
670 391
747 1296
747 1407
1296 1776
1747 104
1747 1906
212 872
212 1672
872 1428
872 711
174 351
174 364
174 1280
351 1964
351 1593
662 663
662 1484
662 1598
